Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
4/24/2019,Sale,Sales Shipment,SHP102803,01-06-003-OG,"OG Green Spring Onions, bunched, 12 ct...",,,4/15/2020,G-CO-105,DURHAM,-1,-1,0,-6,-1,22.5,-18,0,No, ,3240,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102803,01-42-008-OG,"OG Rainbow Chard, bunched, 24 ct...",,,4/19/2020,G-UH-109,DURHAM,-1,-1,0,-25,-1,28.75,-26,0,No, ,3239,CHARD,
4/24/2019,Sale,Sales Shipment,SHP102803,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/24/2020,G-UH-114,DURHAM,-10,-10,0,0,-10,260,-250,0,No, ,3238,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102803,01-21-019-OG,"OG Red Beets, 25 lb.",,,4/19/2020,G-UH-109,DURHAM,-2,-2,0,0,-2,64,-50,0,No, ,3237,BEETS,
4/24/2019,Sale,Sales Shipment,SHP102802,03-49-001-NC,"Non-Cert. Sorghum, 1 gallon..",,,,MPS-075,DURHAM,-1,-1,0,0,-1,36.5,-30,0,No, ,3236,GROCERY SORGHUM,
4/24/2019,Sale,Sales Shipment,SHP102802,01-60-006-OG,"OG Purple-Top Turnips, 10 lb...",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,0,-1,19,-15,0,No, ,3235,TURNIPS,
4/24/2019,Sale,Sales Shipment,SHP102802,01-06-003-OG,"OG Green Spring Onions, bunched, 12 ct...",,,4/15/2020,G-CO-105,DURHAM,-1,-1,0,-6,-1,22.5,-18,0,No, ,3234,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102802,01-06-013-OG,"OG Vidalia Onions, 40 lb.....",,,4/22/2020,G-OS-113,DURHAM,-1,-1,0,0,-1,40,-29.5,0,No, ,3233,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102802,01-04-026-OG,"OG Lacinato ""Dino"" Kale, 20 lb...",,,4/19/2020,G-CO-109,DURHAM,-1,-1,0,-20,-1,29.5,-22,0,No, ,3232,KALES,
4/24/2019,Sale,Sales Shipment,SHP102801,01-04-026-OG,"OG Lacinato ""Dino"" Kale, 20 lb...",,,4/19/2020,G-CO-109,DURHAM,-2,-2,0,-40,-2,59,-44,0,No, ,3231,KALES,
4/24/2019,Sale,Sales Shipment,SHP102801,01-09-014-OG,"OG Red Radish, bunched, 12 ct...",,,4/19/2020,G-CO-109,DURHAM,-2,-2,0,-30,-2,44,-36,0,No, ,3230,RADISHES,
4/24/2019,Sale,Sales Shipment,SHP102801,01-06-003-OG,"OG Green Spring Onions, bunched, 12 ct...",,,4/15/2020,G-CO-105,DURHAM,-1,-1,0,-6,-1,22.5,-18,0,No, ,3229,ONIONS,
4/24/2019,Sale,Sales Shipment,SHP102800,01-43-002-NC,"Non-Cert. Ramps, 1 lb.",,,4/24/2020,MGR-114,DURHAM,-5,-5,0,0,-5,88.75,-70,0,No, ,3228,RAMPS,
4/24/2019,Sale,Sales Shipment,SHP102799,01-43-002-NC,"Non-Cert. Ramps, 1 lb.",,,4/24/2020,MGR-114,DURHAM,-7,-7,0,0,-7,124.25,-98,0,No, ,3227,RAMPS,
4/24/2019,Sale,Sales Shipment,SHP102799,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/22/2020,G-UH-112,DURHAM,-1,-1,0,0,-1,30,-25,0,No, ,3226,BERRIES,
4/24/2019,Sale,Sales Shipment,SHP102799,03-20-003-CV,"CV Original Sin Mustard, 12 x 9 oz.",,,11/30/2019,LMM-075,DURHAM,-1,-1,0,0,-1,50.25,-40.2,0,No, ,3225,GROCERY MUSTARD,
4/24/2019,Sale,Sales Shipment,SHP102799,01-42-008-OG,"OG Rainbow Chard, bunched, 24 ct...",,,4/19/2020,G-UH-109,DURHAM,-2,-2,0,-50,-2,71,-52,0,No, ,3224,CHARD,
4/24/2019,Sale,Sales Shipment,SHP102799,01-04-024-OG,"OG Green Kale, loose, 20 lb.",,,4/24/2020,G-CO-114,DURHAM,-2,-2,0,-40,-2,51,-36,0,No, ,3223,KALES,
4/24/2019,Sale,Sales Shipment,SHP102798,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/24/2020,G-UH-114,DURHAM,-25,-25,0,0,-25,650,-625,0,No, ,3222,BERRIES,
